,Twitter_Id,Date_Published,Likes,Source,Tweet,Name,Language,Location, Retweets,Entities,Latest24hours,,,,
0,1.15121E+18,2019-07-16 19:10:09+00:00,25,Hootsuite Inc.,Do you ever get a wrinkled and nearly destroyed #dollarbill as change and wonder what it has been through in its li… https://t.co/ghDYJELjpF,CreditLoan,en,Florida,2,"{'hashtags': [{'text': 'dollarbill', 'indices': [48, 59]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ghDYJELjpF', 'expanded_url': 'https://twitter.com/i/web/status/1151207408179564546', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",2022-11-13 11:05:17+00:00,,,,Source
1,1.14934E+18,2019-07-11 15:29:54+00:00,10,Hootsuite Inc.,What are your plans after #highschool? Whether you'd like to attend an in-state #college or have plans to venture e… https://t.co/iEeaGk0LDh,CreditLoan,en,San Francisco,0,"{'hashtags': [{'text': 'highschool', 'indices': [26, 37]}, {'text': 'college', 'indices': [80, 88]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iEeaGk0LDh', 'expanded_url': 'https://twitter.com/i/web/status/1149340041132544000', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",2022-11-13 10:34:08+00:00,,,,Hootsuite Inc.
2,1.14898E+18,2019-07-10 15:45:09+00:00,5,Hootsuite Inc.,"Whether you're trying to save up for something new or trying to pay off old #debt, sticking to a #budget can prove… https://t.co/nFQtdSbz2b",CreditLoan,en,Florida,0,"{'hashtags': [{'text': 'debt', 'indices': [76, 81]}, {'text': 'budget', 'indices': [97, 104]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nFQtdSbz2b', 'expanded_url': 'https://twitter.com/i/web/status/1148981491503943681', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",2022-11-11 11:03:14+00:00,,,,Twitter Web Client
3,1.14864E+18,2019-07-09 17:20:00+00:00,2,Hootsuite Inc.,"Did your old car finally bite the dust? Ready for that ""new car"" smell? Learn about #autoloans before you head off… https://t.co/tYrTwBeOcU",CreditLoan,en,Florida,0,"{'hashtags': [{'text': 'autoloans', 'indices': [84, 94]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tYrTwBeOcU', 'expanded_url': 'https://twitter.com/i/web/status/1148642974487777280', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",2022-11-11 10:41:18+00:00,,,,Twitter for Websites
4,1.14613E+18,2019-07-02 18:54:47+00:00,3,Hootsuite Inc.,"With all of the extra fees tacked onto an already expensive plane ticket, it feels like taking a trip costs and arm… https://t.co/ZkenagB3MY",CreditLoan,en,Boston,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZkenagB3MY', 'expanded_url': 'https://twitter.com/i/web/status/1146130110271184902', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",2022-11-11 10:20:33+00:00,,,,Quorum Government Relations
5,1.14468E+18,2019-06-28 18:33:12+00:00,1,Hootsuite Inc.,Do you have a bad #creditscore? Sometimes it seems like your score drops overnight. Learn what might be lowering it… https://t.co/uxopoKAhoB,CreditLoan,en,Los Angeles,1,"{'hashtags': [{'text': 'creditscore', 'indices': [18, 30]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uxopoKAhoB', 'expanded_url': 'https://twitter.com/i/web/status/1144675128548175872', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",2022-11-09 14:43:09+00:00,,,,0
6,1.14142E+18,2019-06-19 18:41:15+00:00,1,Hootsuite Inc.,Being replaced by a machine is a real fear in the modern workplace. If you are human and want to have a chance at k… https://t.co/3QIUUj4zV2,CreditLoan,en,Los Angeles,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3QIUUj4zV2', 'expanded_url': 'https://twitter.com/i/web/status/1141415666228113408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",2022-11-08 14:54:26+00:00,,,,
7,1.13888E+18,2019-06-12 19:04:40+00:00,2,Hootsuite Inc.,High School Grads: Do NOT go off to #college without understanding the importance of #financialliteracy. You'll tha… https://t.co/GaN1BH6Sa0,CreditLoan,en,Los Angeles,0,"{'hashtags': [{'text': 'college', 'indices': [36, 44]}, {'text': 'financialliteracy', 'indices': [85, 103]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GaN1BH6Sa0', 'expanded_url': 'https://twitter.com/i/web/status/1138884842572144641', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",2022-11-08 11:04:48+00:00,,,,
8,1.13888E+18,2019-06-12 19:04:01+00:00,1,Hootsuite Inc.,#HighSchool #Grads: Do NOT go off to #college without understanding the importance of #financialliteracy. You'll th… https://t.co/tiJbtR3Mgm,CreditLoan,en,2022-11-08 03:36:50+00:00,0,"{'hashtags': [{'text': 'HighSchool', 'indices': [0, 11]}, {'text': 'Grads', 'indices': [12, 18]}, {'text': 'college', 'indices': [37, 45]}, {'text': 'financialliteracy', 'indices': [86, 104]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tiJbtR3Mgm', 'expanded_url': 'https://twitter.com/i/web/status/1138884679862509568', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",2022-11-08 10:32:21+00:00,,,,
9,1.13812E+18,2019-06-10 16:10:04+00:00,1,Hootsuite Inc.,"If you have yet to start an emergency fund, what are you waiting for? Find out how you can begin to set money aside… https://t.co/2LkMrlXP0S",CreditLoan,en,Los Angeles,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2LkMrlXP0S', 'expanded_url': 'https://twitter.com/i/web/status/1138116124984455169', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",2022-11-08 09:44:24+00:00,,,,
